"Data generated on Tuesday, February 14, 2017 at 2:19:27 PM EST"
Area/Partners of Destination,,,,,January - December
And Commodities Exported,,,,,Values in Thousands of dollars
,,,,,2011,2012,2013,2014,2015,2016,
,Partner,,HS Code,Product,Value,Value,Value,Value,Value,Value,Reporter Code,Partner Code,Product Code,
"6","European Union-28","18","0704902050","CABBAGE, FR/CH","0","361","0","4","9","25","US","R25","0704902050",
"6","European Union-28","19","0706903500","BEET FC","0","0","0","0","0","20","US","R25","0706903500",
"6","European Union-28","20","0702000065","TOMATOES OTHER","0","3","0","0","0","10","US","R25","0702000065",
"6","European Union-28","21","0709700050","SPINACH FR/CH","0","0","0","3","6","9","US","R25","0709700050",
"6","European Union-28","22","0808300050","PEARS, FRESH","0","2,638","2,271","1,137","390","4","US","R25","0808300050",
"6","European Union-28","23","0702000045","CHERRY TOMATO","0","409","0","0","30","3","US","R25","0702000045",
"6","European Union-28","24","0702000055","ROMA PLUM TOMATO","0","0","0","4","0","0","US","R25","0702000055",
"6","European Union-28","25","0709400050","CELERY FR/CH","0","0","0","0","20","0","US","R25","0709400050",
"6","European Union-28","26","0808200050","PEARS/QUINCE FR","2,498","0","0","0","0","0","US","R25","0808200050",
"6","European Union-28","27","0809200050","CHERRIES FR","14,519","0","0","0","0","0","US","R25","0809200050",
"7","Switzerland(!)","1","0805400050","GRAPEFRUIT,FRESH","0","791","976","758","773","760","US","SR","0805400050",
"7","Switzerland(!)","2","0901210050","COFFEE RST ND","437","168","4","21","8","17","US","SR","0901210050",
"7","Switzerland(!)","3","2103204050","TMTO SAUCES NES","206","561","5","0","0","5","US","SR","2103204050",
"7","Switzerland(!)","4","0805100065","ORANGES NES FR/D","144","0","81","19","0","0","US","SR","0805100065",
"7","Switzerland(!)","5","0805502050","LEMONS FR/D","1,455","227","0","318","0","0","US","SR","0805502050",
"7","Switzerland(!)","6","0806100050","GRAPES FRESH","392","73","0","0","0","0","US","SR","0806100050",
"7","Switzerland(!)","7","0808100050","APPLES FRESH","150","0","0","0","24","0","US","SR","0808100050",
"7","Switzerland(!)","8","0808200050","PEARS/QUINCE FR","64","0","0","0","0","0","US","SR","0808200050",
"7","Switzerland(!)","9","0808300050","PEARS, FRESH","0","34","0","0","0","0","US","SR","0808300050",
"7","Switzerland(!)","10","0810400029","CULT BLUEBERS FR","0","0","0","4","0","0","US","SR","0810400029",
"","Grand Total","","","","8,612,230","9,799,698","9,783,213","9,595,009","9,272,444","9,155,044",
"Notes:"
"1. Data Source: U.S. Census Bureau Trade Data"
"2. (!) denotes a country which is summarized into its obsolete country."
"3. Product Group : FAS &#40;Agricultural&#41;"
